delta,S,nu_min,H_at_nu_min,H_at_minus_10,H_at_plus_10,H_left_boundary,H_right_boundary
0.01,2,NA,NA,1.611865468718531,5.739454077158257e-5,NA,1.6494043797136007
0.01,7,NA,NA,1.6119411958620073,2.0086411939868043e-4,NA,1.6605131117924423
0.01,12,NA,NA,1.611953817701572,3.443097409676632e-4,NA,1.662378675017492
0.01,17,NA,NA,1.6119590149835261,4.8773141147839816e-4,NA,1.6631480291554412
0.01,22,NA,NA,1.6119618498778436,6.311291369289762e-4,NA,1.6635679677656237
0.01,27,NA,NA,1.6119636348161013,7.74502923316156e-4,NA,1.663832478992473
0.01,32,NA,NA,1.6119648619633042,9.178527766333655e-4,NA,1.6640143777453145
0.01,37,NA,NA,1.6119657574502075,0.0010611787028731445,NA,1.664147138996975
0.01,42,NA,NA,1.6119664397265705,0.0012044807080255904,NA,1.6642483042054241
0.01,47,NA,NA,1.6119669768381306,0.00134775879807858,NA,1.6643279532861528
0.01,52,NA,NA,1.6119674106592514,0.0014910129790186577,NA,1.6643922906291309
0.01,57,NA,NA,1.6119677683715685,0.0016342432568297038,NA,1.664445344344689
0.01,62,NA,NA,1.6119680683884647,0.001777449637494044,NA,1.6644898435364728
0.01,67,NA,NA,1.6119683236268028,0.0019206321269913396,NA,1.664527702872963
0.01,72,NA,NA,1.6119685434154323,0.0020637907313003634,NA,1.6645603053055456
0.01,77,NA,NA,1.6119687346601297,0.002206925456397224,NA,1.6645886746628773
0.01,82,NA,NA,1.6119689025823383,0.0023500363082555875,NA,1.6646135851150712
0.01,87,NA,NA,1.6119690512031712,0.0024931232928482316,NA,1.6646356328995604
0.01,92,NA,NA,1.6119691836695864,0.0026361864161450477,NA,1.6646552846627425
0.01,97,NA,NA,1.6119693024796886,0.0027792256841141505,NA,1.6646729108534286
0.01,102,NA,NA,1.6119694096417554,0.0029222411027218786,NA,1.6646888092964467
0.01,107,NA,NA,1.6119695067886868,0.00306523267793235,NA,1.6647032221579625
0.01,112,NA,NA,1.6119695952617952,0.003208200415707907,NA,1.6647163483672522
0.01,117,NA,NA,1.611969676173107,0.00335114432200867,NA,1.6647283528539107
0.01,122,NA,NA,1.6119697504523511,0.0034940644027932066,NA,1.664739373513953
0.01,127,NA,NA,1.6119698188828413,0.003636960664017419,NA,1.6647495265306178
0.01,132,NA,NA,1.611969882129209,0.0037798331116354333,NA,1.6647589104860647
0.01,137,NA,NA,1.611969940759057,0.003922681751600043,NA,1.6647676095728197
0.01,142,NA,NA,1.6119699952600461,0.004065506589861156,NA,1.664775696126839
0.01,147,NA,NA,1.611970046053488,0.0042083076323675694,NA,1.664783232643675
0.01,152,NA,NA,1.611970093505259,0.004351084885065193,NA,1.6647902733967728
0.01,157,NA,NA,1.6119701379346263,0.004493838353898605,NA,1.66479686574657
0.01,162,NA,NA,1.611970179621442,0.004636568044809941,NA,1.6648030512071972
0.01,167,NA,NA,1.6119702188120435,0.004779273963739783,NA,1.6648088663215783
0.01,172,NA,NA,1.6119702557241231,0.004921956116626713,NA,1.6648143433839118
0.01,177,NA,NA,1.6119702905507762,0.005064614509407095,NA,1.6648195110397124
0.01,182,NA,NA,1.6119703234638783,0.005207249148015292,NA,1.6648243947869523
0.01,187,NA,NA,1.611970354616922,0.005349860038383891,NA,1.6648290173968152
0.01,192,NA,NA,1.6119703841474124,0.005492447186443261,NA,1.6648333992687125
0.01,197,NA,NA,1.6119704121788945,0.005635010598122214,NA,1.6648375587312425
0.02,2,NA,NA,1.4941319960810482,5.739454077158257e-5,NA,1.5931732766961864
0.02,7,NA,NA,1.4942077232245246,2.0086411939868043e-4,NA,1.604282008775028
0.02,12,NA,NA,1.4942203450640892,3.443097409676632e-4,NA,1.6061475720000777
0.02,17,NA,NA,1.4942255423460433,4.8773141147839816e-4,NA,1.606916926138027
0.02,22,NA,NA,1.4942283772403608,6.311291369289762e-4,NA,1.6073368647482094
0.02,27,NA,NA,1.4942301621786185,7.74502923316156e-4,NA,1.6076013759750587
0.02,32,NA,NA,1.4942313893258214,9.178527766333655e-4,NA,1.6077832747279002
0.02,37,NA,NA,1.4942322848127247,0.0010611787028731445,NA,1.6079160359795608
0.02,42,NA,NA,1.4942329670890877,0.0012044807080255904,NA,1.6080172011880098
0.02,47,NA,NA,1.4942335042006478,0.00134775879807858,NA,1.6080968502687385
0.02,52,NA,NA,1.4942339380217686,0.0014910129790186577,NA,1.6081611876117166
0.02,57,NA,NA,1.4942342957340857,0.0016342432568297038,NA,1.6082142413272746
0.02,62,NA,NA,1.494234595750982,0.001777449637494044,NA,1.6082587405190585
0.02,67,NA,NA,1.49423485098932,0.0019206321269913396,NA,1.6082965998555487
0.02,72,NA,NA,1.4942350707779495,0.0020637907313003634,NA,1.6083292022881313
0.02,77,NA,NA,1.494235262022647,0.002206925456397224,NA,1.608357571645463
0.02,82,NA,NA,1.4942354299448555,0.0023500363082555875,NA,1.6083824820976569
0.02,87,NA,NA,1.4942355785656884,0.0024931232928482316,NA,1.608404529882146
0.02,92,NA,NA,1.4942357110321036,0.0026361864161450477,NA,1.6084241816453282
0.02,97,NA,NA,1.4942358298422058,0.0027792256841141505,NA,1.6084418078360143
0.02,102,NA,NA,1.4942359370042726,0.0029222411027218786,NA,1.6084577062790324
0.02,107,NA,NA,1.494236034151204,0.00306523267793235,NA,1.6084721191405482
0.02,112,NA,NA,1.4942361226243124,0.003208200415707907,NA,1.608485245349838
0.02,117,NA,NA,1.4942362035356243,0.00335114432200867,NA,1.6084972498364964
0.02,122,NA,NA,1.4942362778148683,0.0034940644027932066,NA,1.6085082704965388
0.02,127,NA,NA,1.4942363462453585,0.003636960664017419,NA,1.6085184235132035
0.02,132,NA,NA,1.4942364094917262,0.0037798331116354333,NA,1.6085278074686504
0.02,137,NA,NA,1.4942364681215743,0.003922681751600043,NA,1.6085365065554054
0.02,142,NA,NA,1.4942365226225633,0.004065506589861156,NA,1.6085445931094247
0.02,147,NA,NA,1.4942365734160052,0.0042083076323675694,NA,1.6085521296262606
0.02,152,NA,NA,1.4942366208677762,0.004351084885065193,NA,1.6085591703793585
0.02,157,NA,NA,1.4942366652971435,0.004493838353898605,NA,1.6085657627291556
0.02,162,NA,NA,1.4942367069839593,0.004636568044809941,NA,1.6085719481897829
0.02,167,NA,NA,1.4942367461745607,0.004779273963739783,NA,1.608577763304164
0.02,172,NA,NA,1.4942367830866403,0.004921956116626713,NA,1.6085832403664975
0.02,177,NA,NA,1.4942368179132934,0.005064614509407095,NA,1.608588408022298
0.02,182,NA,NA,1.4942368508263955,0.005207249148015292,NA,1.608593291769538
0.02,187,NA,NA,1.4942368819794392,0.005349860038383891,NA,1.608597914379401
0.02,192,NA,NA,1.4942369115099297,0.005492447186443261,NA,1.6086022962512982
0.02,197,NA,NA,1.4942369395414117,0.005635010598122214,NA,1.6086064557138282
0.03,2,NA,NA,1.363735172208706,5.739454077158257e-5,NA,1.5338271115879747
0.03,7,NA,NA,1.3638108993521825,2.0086411939868043e-4,NA,1.5449358436668164
0.03,12,NA,NA,1.363823521191747,3.443097409676632e-4,NA,1.546801406891866
0.03,17,NA,NA,1.3638287184737012,4.8773141147839816e-4,NA,1.5475707610298153
0.03,22,NA,NA,1.3638315533680188,6.311291369289762e-4,NA,1.5479906996399977
0.03,27,NA,NA,1.3638333383062764,7.74502923316156e-4,NA,1.548255210866847
0.03,32,NA,NA,1.3638345654534794,9.178527766333655e-4,NA,1.5484371096196885
0.03,37,NA,NA,1.3638354609403827,0.0010611787028731445,NA,1.5485698708713491
0.03,42,NA,NA,1.3638361432167456,0.0012044807080255904,NA,1.5486710360797982
0.03,47,NA,NA,1.3638366803283057,0.00134775879807858,NA,1.5487506851605268
0.03,52,NA,NA,1.3638371141494265,0.0014910129790186577,NA,1.548815022503505
0.03,57,NA,NA,1.3638374718617436,0.0016342432568297038,NA,1.548868076219063
0.03,62,NA,NA,1.3638377718786399,0.001777449637494044,NA,1.5489125754108468
0.03,67,NA,NA,1.3638380271169779,0.0019206321269913396,NA,1.548950434747337
0.03,72,NA,NA,1.3638382469056074,0.0020637907313003634,NA,1.5489830371799196
0.03,77,NA,NA,1.3638384381503048,0.002206925456397224,NA,1.5490114065372513
0.03,82,NA,NA,1.3638386060725134,0.0023500363082555875,NA,1.5490363169894452
0.03,87,NA,NA,1.3638387546933464,0.0024931232928482316,NA,1.5490583647739344
0.03,92,NA,NA,1.3638388871597615,0.0026361864161450477,NA,1.5490780165371165
0.03,97,NA,NA,1.3638390059698637,0.0027792256841141505,NA,1.5490956427278026
0.03,102,NA,NA,1.3638391131319305,0.0029222411027218786,NA,1.5491115411708207
0.03,107,NA,NA,1.363839210278862,0.00306523267793235,NA,1.5491259540323365
0.03,112,NA,NA,1.3638392987519703,0.003208200415707907,NA,1.5491390802416263
0.03,117,NA,NA,1.3638393796632822,0.00335114432200867,NA,1.5491510847282848
0.03,122,NA,NA,1.3638394539425263,0.0034940644027932066,NA,1.549162105388327
0.03,127,NA,NA,1.3638395223730164,0.003636960664017419,NA,1.5491722584049918
0.03,132,NA,NA,1.3638395856193841,0.0037798331116354333,NA,1.5491816423604388
0.03,137,NA,NA,1.3638396442492322,0.003922681751600043,NA,1.5491903414471937
0.03,142,NA,NA,1.3638396987502213,0.004065506589861156,NA,1.549198428001213
0.03,147,NA,NA,1.3638397495436632,0.0042083076323675694,NA,1.549205964518049
0.03,152,NA,NA,1.3638397969954341,0.004351084885065193,NA,1.5492130052711468
0.03,157,NA,NA,1.3638398414248014,0.004493838353898605,NA,1.549219597620944
0.03,162,NA,NA,1.3638398831116172,0.004636568044809941,NA,1.5492257830815712
0.03,167,NA,NA,1.3638399223022186,0.004779273963739783,NA,1.5492315981959524
0.03,172,NA,NA,1.3638399592142982,0.004921956116626713,NA,1.5492370752582858
