delta,S,nu_min
0.01,2,-99.98500099831122
0.01,12,-99.98500099831122
0.01,22,-99.98500099831122
0.01,32,-99.98500099831122
0.01,42,-99.98500099831122
0.01,52,-99.98500099831122
0.01,62,-99.98500099831122
0.01,72,-99.98500099831122
0.01,82,-99.98500099831122
0.01,92,-99.98500099831122
0.01,102,-99.98500099831122
0.01,112,-99.98500099831122
0.01,122,-99.98500099831122
0.01,132,-99.98500099831122
0.01,142,-99.98500099831122
0.01,152,-99.98500099831122
0.01,162,-99.98500099831122
0.01,172,-99.98500099831122
0.01,182,-99.98500099831122
0.01,192,-99.98500099831122
0.02,2,-49.97000797020451
0.02,12,-49.97000797020451
0.02,22,-49.97000797020451
0.02,32,-49.97000797020451
0.02,42,-49.97000797020451
0.02,52,-49.97000797020451
0.02,62,-49.97000797020451
0.02,72,-49.97000797020451
0.02,82,-49.97000797020451
0.02,92,-49.97000797020451
0.02,102,-49.97000797020451
0.02,112,-49.97000797020451
0.02,122,-49.97000797020451
0.02,132,-49.97000797020451
0.02,142,-49.97000797020451
0.02,152,-49.97000797020451
0.02,162,-49.97000797020451
0.02,172,-49.97000797020451
0.02,182,-49.97000797020451
0.02,192,-49.97000797020451
0.03,2,-33.2883602070708
0.03,12,-33.2883602070708
0.03,22,-33.28836020707056
0.03,32,-33.2883602070708
0.03,42,-33.2883602070708
0.03,52,-33.2883602070708
0.03,62,-33.2883602070708
0.03,72,-33.2883602070708
0.03,82,-33.2883602070708
0.03,92,-33.2883602070708
0.03,102,-33.2883602070708
0.03,112,-33.2883602070708
0.03,122,-33.2883602070708
0.03,132,-33.2883602070708
0.03,142,-33.2883602070708
0.03,152,-33.2883602070708
0.03,162,-33.2883602070708
0.03,172,-33.2883602070708
0.03,182,-33.2883602070708
0.03,192,-33.2883602070708
0.04,2,-24.94006343439002
0.04,12,-24.940063434654657
0.04,22,-24.940063434678674
0.04,32,-24.940063434687712
0.04,42,-24.940063434692426
0.04,52,-24.940063434695343
0.04,62,-24.94006343469732
0.04,72,-24.94006343469876
0.04,82,-24.940063434699844
0.04,92,-24.940063434700736
0.04,102,-24.940063434701376
0.04,112,-24.94006343470191
0.04,122,-24.940063434702353
0.04,132,-24.940063434702765
0.04,142,-24.94006343470312
0.04,152,-24.940063434703386
0.04,162,-24.94006343470367
0.04,172,-24.940063434703884
0.04,182,-24.940063434704026
0.04,192,-24.94006343470424
0.05,2,-19.925123476791413
0.05,12,-19.92512350870807
0.05,22,-19.925123511609637
0.05,32,-19.925123512697688
0.05,42,-19.925123513267657
0.05,52,-19.925123513618406
0.05,62,-19.92512351385593
0.05,72,-19.92512351402754
0.05,82,-19.92512351415725
0.05,92,-19.925123514258775
0.05,102,-19.925123514340466
0.05,112,-19.925123514407506
0.05,122,-19.92512351446354
0.05,132,-19.925123514511096
0.05,142,-19.92512351455196
0.05,152,-19.9251235145875
0.05,162,-19.92512351461857
0.05,172,-19.9251235146461
0.05,182,-19.925123514670528
0.05,192,-19.92512351469248
0.060000000000000005,2,-16.576878282902527
0.060000000000000005,12,-16.576879040480254
0.060000000000000005,22,-16.5768791093509
0.060000000000000005,32,-16.576879135177403
0.060000000000000005,42,-16.576879148705544
0.060000000000000005,52,-16.57687915703058
0.060000000000000005,62,-16.576879162670114
0.060000000000000005,72,-16.576879166743105
0.060000000000000005,82,-16.576879169822682
0.060000000000000005,92,-16.57687917223278
0.060000000000000005,102,-16.576879174170333
0.060000000000000005,112,-16.576879175761864
0.060000000000000005,122,-16.576879177092504
0.060000000000000005,132,-16.57687917822151
0.060000000000000005,142,-16.576879179191558
0.060000000000000005,152,-16.576879180033924
0.060000000000000005,162,-16.57687918077232
0.060000000000000005,172,-16.576879181424836
0.060000000000000005,182,-16.576879182005637
0.060000000000000005,192,-16.576879182525985
0.06999999999999999,2,-14.181041568010379
0.06999999999999999,12,-14.181048704416176
0.06999999999999999,22,-14.181049353175498
0.06999999999999999,32,-14.181049596460062
0.06999999999999999,42,-14.181049723894755
0.06999999999999999,52,-14.181049802316108
0.06999999999999999,62,-14.181049855440252
0.06999999999999999,72,-14.181049893807693
0.06999999999999999,82,-14.181049922817154
