delta,S,regime,n_zero_crossings,v_star
0.01,2,all_action,0,NA
0.01,4,all_action,0,NA
0.01,6,all_action,0,NA
0.01,8,all_action,0,NA
0.01,10,all_action,0,NA
0.01,12,all_action,0,NA
0.01,14,all_action,0,NA
0.01,16,all_action,0,NA
0.01,18,all_action,0,NA
0.01,20,all_action,0,NA
0.01,22,all_action,0,NA
0.01,24,all_action,0,NA
0.01,26,all_action,0,NA
0.01,28,all_action,0,NA
0.01,30,all_action,0,NA
0.01,32,all_action,0,NA
0.01,34,all_action,0,NA
0.01,36,all_action,0,NA
0.01,38,all_action,0,NA
0.01,40,all_action,0,NA
0.01,42,all_action,0,NA
0.01,44,all_action,0,NA
0.01,46,all_action,0,NA
0.01,48,all_action,0,NA
0.01,50,all_action,0,NA
0.01,52,all_action,0,NA
0.01,54,all_action,0,NA
0.01,56,all_action,0,NA
0.01,58,all_action,0,NA
0.01,60,all_action,0,NA
0.01,62,all_action,0,NA
0.01,64,all_action,0,NA
0.01,66,all_action,0,NA
0.01,68,all_action,0,NA
0.01,70,all_action,0,NA
0.01,72,all_action,0,NA
0.01,74,all_action,0,NA
0.01,76,all_action,0,NA
0.01,78,all_action,0,NA
0.01,80,all_action,0,NA
0.01,82,all_action,0,NA
0.01,84,all_action,0,NA
0.01,86,all_action,0,NA
0.01,88,all_action,0,NA
0.01,90,all_action,0,NA
0.01,92,all_action,0,NA
0.01,94,all_action,0,NA
0.01,96,all_action,0,NA
0.01,98,all_action,0,NA
0.01,100,all_action,0,NA
0.01,102,all_action,0,NA
0.01,104,all_action,0,NA
0.01,106,all_action,0,NA
0.01,108,all_action,0,NA
0.01,110,all_action,0,NA
0.01,112,all_action,0,NA
0.01,114,all_action,0,NA
0.01,116,all_action,0,NA
0.01,118,all_action,0,NA
0.01,120,all_action,0,NA
0.01,122,all_action,0,NA
0.01,124,all_action,0,NA
0.01,126,all_action,0,NA
0.01,128,all_action,0,NA
0.01,130,all_action,0,NA
0.01,132,all_action,0,NA
0.01,134,all_action,0,NA
0.01,136,all_action,0,NA
0.01,138,all_action,0,NA
0.01,140,all_action,0,NA
0.01,142,all_action,0,NA
0.01,144,all_action,0,NA
0.01,146,all_action,0,NA
0.01,148,all_action,0,NA
0.01,150,all_action,0,NA
0.01,152,all_action,0,NA
0.01,154,all_action,0,NA
0.01,156,all_action,0,NA
0.01,158,all_action,0,NA
0.01,160,all_action,0,NA
0.01,162,all_action,0,NA
0.01,164,all_action,0,NA
0.01,166,all_action,0,NA
0.01,168,all_action,0,NA
0.01,170,all_action,0,NA
0.01,172,all_action,0,NA
0.01,174,all_action,0,NA
0.01,176,all_action,0,NA
0.01,178,all_action,0,NA
0.01,180,all_action,0,NA
0.01,182,all_action,0,NA
0.01,184,all_action,0,NA
0.01,186,all_action,0,NA
0.01,188,all_action,0,NA
0.01,190,all_action,0,NA
0.01,192,all_action,0,NA
0.01,194,all_action,0,NA
0.01,196,all_action,0,NA
0.01,198,all_action,0,NA
0.01,200,all_action,0,NA
0.02,2,all_action,0,NA
0.02,4,all_action,0,NA
0.02,6,all_action,0,NA
0.02,8,all_action,0,NA
0.02,10,all_action,0,NA
0.02,12,all_action,0,NA
0.02,14,all_action,0,NA
0.02,16,all_action,0,NA
0.02,18,all_action,0,NA
0.02,20,all_action,0,NA
0.02,22,all_action,0,NA
0.02,24,all_action,0,NA
0.02,26,all_action,0,NA
0.02,28,all_action,0,NA
0.02,30,all_action,0,NA
0.02,32,all_action,0,NA
0.02,34,all_action,0,NA
0.02,36,all_action,0,NA
0.02,38,all_action,0,NA
0.02,40,all_action,0,NA
0.02,42,all_action,0,NA
0.02,44,all_action,0,NA
0.02,46,all_action,0,NA
0.02,48,all_action,0,NA
0.02,50,all_action,0,NA
0.02,52,all_action,0,NA
0.02,54,all_action,0,NA
0.02,56,all_action,0,NA
0.02,58,all_action,0,NA
0.02,60,all_action,0,NA
0.02,62,all_action,0,NA
0.02,64,all_action,0,NA
0.02,66,all_action,0,NA
0.02,68,all_action,0,NA
0.02,70,all_action,0,NA
0.02,72,all_action,0,NA
0.02,74,all_action,0,NA
0.02,76,all_action,0,NA
0.02,78,all_action,0,NA
0.02,80,all_action,0,NA
0.02,82,all_action,0,NA
0.02,84,all_action,0,NA
0.02,86,all_action,0,NA
0.02,88,all_action,0,NA
0.02,90,all_action,0,NA
0.02,92,all_action,0,NA
0.02,94,all_action,0,NA
0.02,96,all_action,0,NA
0.02,98,all_action,0,NA
0.02,100,all_action,0,NA
0.02,102,all_action,0,NA
0.02,104,all_action,0,NA
0.02,106,all_action,0,NA
0.02,108,all_action,0,NA
0.02,110,all_action,0,NA
0.02,112,all_action,0,NA
0.02,114,all_action,0,NA
0.02,116,all_action,0,NA
0.02,118,all_action,0,NA
0.02,120,all_action,0,NA
0.02,122,all_action,0,NA
0.02,124,all_action,0,NA
0.02,126,all_action,0,NA
0.02,128,all_action,0,NA
0.02,130,all_action,0,NA
0.02,132,all_action,0,NA
0.02,134,all_action,0,NA
0.02,136,all_action,0,NA
0.02,138,all_action,0,NA
0.02,140,all_action,0,NA
0.02,142,all_action,0,NA
0.02,144,all_action,0,NA
0.02,146,all_action,0,NA
0.02,148,all_action,0,NA
0.02,150,all_action,0,NA
0.02,152,all_action,0,NA
0.02,154,all_action,0,NA
0.02,156,all_action,0,NA
0.02,158,all_action,0,NA
0.02,160,all_action,0,NA
0.02,162,all_action,0,NA
0.02,164,all_action,0,NA
0.02,166,all_action,0,NA
0.02,168,all_action,0,NA
0.02,170,all_action,0,NA
0.02,172,all_action,0,NA
0.02,174,all_action,0,NA
0.02,176,all_action,0,NA
0.02,178,all_action,0,NA
0.02,180,all_action,0,NA
0.02,182,all_action,0,NA
0.02,184,all_action,0,NA
0.02,186,all_action,0,NA
0.02,188,all_action,0,NA
0.02,190,all_action,0,NA
0.02,192,all_action,0,NA
0.02,194,all_action,0,NA
0.02,196,all_action,0,NA
0.02,198,all_action,0,NA
0.02,200,all_action,0,NA
0.03,2,all_action,0,NA
0.03,4,all_action,0,NA
0.03,6,all_action,0,NA
0.03,8,all_action,0,NA
0.03,10,all_action,0,NA
0.03,12,all_action,0,NA
0.03,14,all_action,0,NA
0.03,16,all_action,0,NA
0.03,18,all_action,0,NA
0.03,20,all_action,0,NA
0.03,22,all_action,0,NA
0.03,24,all_action,0,NA
0.03,26,all_action,0,NA
0.03,28,all_action,0,NA
0.03,30,all_action,0,NA
0.03,32,all_action,0,NA
0.03,34,all_action,0,NA
0.03,36,all_action,0,NA
0.03,38,all_action,0,NA
0.03,40,all_action,0,NA
0.03,42,all_action,0,NA
0.03,44,all_action,0,NA
0.03,46,all_action,0,NA
0.03,48,all_action,0,NA
0.03,50,all_action,0,NA
0.03,52,all_action,0,NA
0.03,54,all_action,0,NA
0.03,56,all_action,0,NA
0.03,58,all_action,0,NA
0.03,60,all_action,0,NA
0.03,62,all_action,0,NA
0.03,64,all_action,0,NA
0.03,66,all_action,0,NA
0.03,68,all_action,0,NA
0.03,70,all_action,0,NA
0.03,72,all_action,0,NA
0.03,74,all_action,0,NA
0.03,76,all_action,0,NA
0.03,78,all_action,0,NA
0.03,80,all_action,0,NA
0.03,82,all_action,0,NA
0.03,84,all_action,0,NA
0.03,86,all_action,0,NA
0.03,88,all_action,0,NA
0.03,90,all_action,0,NA
0.03,92,all_action,0,NA
0.03,94,all_action,0,NA
0.03,96,all_action,0,NA
0.03,98,all_action,0,NA
0.03,100,all_action,0,NA
0.03,102,all_action,0,NA
0.03,104,all_action,0,NA
0.03,106,all_action,0,NA
0.03,108,all_action,0,NA
0.03,110,all_action,0,NA
0.03,112,all_action,0,NA
0.03,114,all_action,0,NA
0.03,116,all_action,0,NA
0.03,118,all_action,0,NA
0.03,120,all_action,0,NA
0.03,122,all_action,0,NA
0.03,124,all_action,0,NA
0.03,126,all_action,0,NA
0.03,128,all_action,0,NA
0.03,130,all_action,0,NA
0.03,132,all_action,0,NA
0.03,134,all_action,0,NA
0.03,136,all_action,0,NA
0.03,138,all_action,0,NA
0.03,140,all_action,0,NA
0.03,142,all_action,0,NA
0.03,144,all_action,0,NA
0.03,146,all_action,0,NA
0.03,148,all_action,0,NA
0.03,150,all_action,0,NA
0.03,152,all_action,0,NA
0.03,154,all_action,0,NA
0.03,156,all_action,0,NA
0.03,158,all_action,0,NA
0.03,160,all_action,0,NA
0.03,162,all_action,0,NA
0.03,164,all_action,0,NA
0.03,166,all_action,0,NA
0.03,168,all_action,0,NA
0.03,170,all_action,0,NA
0.03,172,all_action,0,NA
0.03,174,all_action,0,NA
0.03,176,all_action,0,NA
0.03,178,all_action,0,NA
0.03,180,all_action,0,NA
0.03,182,all_action,0,NA
0.03,184,all_action,0,NA
0.03,186,all_action,0,NA
0.03,188,all_action,0,NA
0.03,190,all_action,0,NA
0.03,192,all_action,0,NA
0.03,194,all_action,0,NA
0.03,196,all_action,0,NA
0.03,198,all_action,0,NA
0.03,200,all_action,0,NA
0.04,2,all_action,0,NA
0.04,4,all_action,0,NA
0.04,6,all_action,0,NA
0.04,8,all_action,0,NA
0.04,10,all_action,0,NA
0.04,12,all_action,0,NA
0.04,14,all_action,0,NA
0.04,16,all_action,0,NA
0.04,18,all_action,0,NA
0.04,20,all_action,0,NA
0.04,22,all_action,0,NA
0.04,24,all_action,0,NA
0.04,26,all_action,0,NA
0.04,28,all_action,0,NA
0.04,30,all_action,0,NA
0.04,32,all_action,0,NA
0.04,34,all_action,0,NA
0.04,36,all_action,0,NA
0.04,38,all_action,0,NA
0.04,40,all_action,0,NA
0.04,42,all_action,0,NA
0.04,44,all_action,0,NA
0.04,46,all_action,0,NA
0.04,48,all_action,0,NA
0.04,50,all_action,0,NA
0.04,52,all_action,0,NA
0.04,54,all_action,0,NA
0.04,56,all_action,0,NA
0.04,58,all_action,0,NA
0.04,60,all_action,0,NA
0.04,62,all_action,0,NA
0.04,64,all_action,0,NA
0.04,66,all_action,0,NA
0.04,68,all_action,0,NA
0.04,70,all_action,0,NA
0.04,72,all_action,0,NA
0.04,74,all_action,0,NA
0.04,76,all_action,0,NA
0.04,78,all_action,0,NA
0.04,80,all_action,0,NA
0.04,82,all_action,0,NA
0.04,84,all_action,0,NA
0.04,86,all_action,0,NA
0.04,88,all_action,0,NA
0.04,90,all_action,0,NA
0.04,92,all_action,0,NA
0.04,94,all_action,0,NA
0.04,96,all_action,0,NA
0.04,98,all_action,0,NA
0.04,100,all_action,0,NA
0.04,102,all_action,0,NA
0.04,104,all_action,0,NA
0.04,106,all_action,0,NA
0.04,108,all_action,0,NA
0.04,110,all_action,0,NA
0.04,112,all_action,0,NA
0.04,114,all_action,0,NA
0.04,116,all_action,0,NA
0.04,118,all_action,0,NA
0.04,120,all_action,0,NA
0.04,122,all_action,0,NA
0.04,124,all_action,0,NA
0.04,126,all_action,0,NA
0.04,128,all_action,0,NA
0.04,130,all_action,0,NA
0.04,132,all_action,0,NA
0.04,134,all_action,0,NA
0.04,136,all_action,0,NA
0.04,138,all_action,0,NA
0.04,140,all_action,0,NA
0.04,142,all_action,0,NA
0.04,144,all_action,0,NA
0.04,146,all_action,0,NA
0.04,148,all_action,0,NA
0.04,150,all_action,0,NA
0.04,152,all_action,0,NA
0.04,154,all_action,0,NA
0.04,156,all_action,0,NA
0.04,158,all_action,0,NA
0.04,160,all_action,0,NA
0.04,162,all_action,0,NA
0.04,164,all_action,0,NA
0.04,166,all_action,0,NA
0.04,168,all_action,0,NA
0.04,170,all_action,0,NA
0.04,172,all_action,0,NA
0.04,174,all_action,0,NA
0.04,176,all_action,0,NA
0.04,178,all_action,0,NA
0.04,180,all_action,0,NA
0.04,182,all_action,0,NA
0.04,184,all_action,0,NA
0.04,186,all_action,0,NA
0.04,188,all_action,0,NA
0.04,190,all_action,0,NA
0.04,192,all_action,0,NA
0.04,194,all_action,0,NA
0.04,196,all_action,0,NA
0.04,198,all_action,0,NA
0.04,200,all_action,0,NA
0.05,2,all_action,0,NA
0.05,4,all_action,0,NA
0.05,6,all_action,0,NA
0.05,8,all_action,0,NA
