"delta","S","v_star"
0.11,2,-8.92612807739447
0.11,3,-8.92647827656258
0.11,4,-8.92665329989828
0.11,5,-8.92675828950977
0.11,6,-8.92682827242385
0.11,7,-8.92687825524385
0.11,8,-8.92691573963801
0.11,9,-8.92694489255455
0.11,10,-8.92696821387214
0.11,11,-8.92698729427868
0.11,12,-8.92700319415585
0.11,13,-8.9270166475703
0.11,14,-8.92702817882926
0.11,15,-8.92703817240848
0.11,16,-8.9270469166543
0.11,17,-8.9270546320599
0.11,18,-8.92706149011526
0.11,19,-8.92706762620386
0.11,20,-8.92707314863016
0.11,21,-8.92707814506748
0.11,22,-8.92708268724725
0.11,23,-8.92708683442496
0.11,24,-8.92709063597944
0.11,25,-8.92709413338838
0.11,26,-8.92709736174783
0.11,27,-8.92710035095411
0.11,28,-8.92710312663238
0.11,29,-8.92710571087307
0.11,30,-8.92710812282103
0.11,31,-8.92711037915071
0.11,32,-8.92711249445211
0.11,33,-8.92711448154665
0.11,34,-8.92711635174729
0.11,35,-8.92711811507401
0.11,36,-8.92711978043339
0.11,37,-8.9271213557691
0.11,38,-8.92712284818861
0.11,39,-8.92712426407037
0.11,40,-8.92712560915495
0.11,41,-8.92712688862287
0.11,42,-8.92712810716121
0.11,43,-8.92712926902106
0.11,44,-8.92713037806701
0.11,45,-8.92713143782011
0.11,46,-8.92713245149525
0.11,47,-8.92713342203368
0.11,48,-8.92713435213154
0.11,49,-8.92713524426487
0.11,50,-8.92713610071163
0.11,51,-8.92713692357109
0.11,52,-8.92713771478105
0.11,53,-8.92713847613305
0.11,54,-8.92713920928592
0.11,55,-8.92713991577784
0.11,56,-8.92714059703712
0.11,57,-8.92714125439183
0.11,58,-8.92714188907846
0.11,59,-8.92714250224966
0.11,60,-8.92714309498122
0.11,61,-8.9271436682784
0.11,62,-8.92714422308161
0.11,63,-8.92714476027153
0.11,64,-8.92714528067381
0.11,65,-8.92714578506328
0.11,66,-8.92714627416782
0.11,67,-8.92714674867184
0.11,68,-8.92714720921951
0.11,69,-8.92714765641763
0.11,70,-8.92714809083834
0.11,71,-8.92714851302155
0.11,72,-8.92714892347717
0.11,73,-8.92714932268715
0.11,74,-8.92714971110743
0.11,75,-8.92715008916959
0.11,76,-8.92715045728251
0.11,77,-8.92715081583385
0.11,78,-8.92715116519136
0.11,79,-8.92715150570418
0.11,80,-8.92715183770399
0.11,81,-8.9271521615061
0.11,82,-8.92715247741043
0.11,83,-8.92715278570244
0.11,84,-8.92715308665402
0.11,85,-8.92715338052424
0.11,86,-8.92715366756013
0.11,87,-8.92715394799737
0.11,88,-8.9271542220609
0.11,89,-8.92715448996558
0.11,90,-8.92715475191671
0.11,91,-8.92715500811056
0.11,92,-8.92715525873487
