delta,S,n_zero_crossings,action_structure,zero_crossings,H_at_left_boundary,H_at_right_boundary
0.01,2,0,no_zero_all_positive,NA,1.611865468718531,5.739454077158257e-5
0.01,4,0,no_zero_all_positive,NA,1.6119184770180754,1.1478524745345275e-4
0.01,6,0,no_zero_all_positive,NA,1.611936147178103,1.7217212042996977e-4
0.01,8,0,no_zero_all_positive,NA,1.6119449823944065,2.2955516008504873e-4
0.01,10,0,no_zero_all_positive,NA,1.611950283567802,2.8693436680304885e-4
0.01,12,0,no_zero_all_positive,NA,1.6119538177015715,3.443097409676632e-4
0.01,14,0,no_zero_all_positive,NA,1.6119563420917369,4.0168128296302896e-4
0.01,16,0,no_zero_all_positive,NA,1.6119582353892281,4.590489931728392e-4
0.01,18,0,no_zero_all_positive,NA,1.6119597079568275,5.164128719814531e-4
0.01,20,0,no_zero_all_positive,NA,1.6119608860127248,5.737729197723418e-4
0.01,22,0,no_zero_all_positive,NA,1.6119618498778423,6.311291369291983e-4
0.01,24,0,no_zero_all_positive,NA,1.6119626530995999,6.884815238359376e-4
0.01,26,0,no_zero_all_positive,NA,1.6119633327493657,7.45830080876031e-4
0.01,28,0,no_zero_all_positive,NA,1.611963915306736,8.031748084333934e-4
0.01,30,0,no_zero_all_positive,NA,1.6119644201901093,8.605157068912739e-4
0.01,32,0,no_zero_all_positive,NA,1.6119648619633042,9.178527766333655e-4
0.01,34,0,no_zero_all_positive,NA,1.6119652517633711,9.751860180431393e-4
0.01,36,0,no_zero_all_positive,NA,1.611965598252468,0.0010325154315038443
0.01,38,0,no_zero_all_positive,NA,1.6119659082691467,0.0010898410173989515
0.01,40,0,no_zero_all_positive,NA,1.6119661872842532,0.0011471627761117098
0.01,42,0,no_zero_all_positive,NA,1.6119664397265705,0.0012044807080255904
0.01,44,0,no_zero_all_positive,NA,1.6119666692196506,0.001261794813523398
0.01,46,0,no_zero_all_positive,NA,1.611966878756864,0.001319105092988604
0.01,48,0,no_zero_all_positive,NA,1.6119670708326885,0.0013764115468042348
0.01,50,0,no_zero_all_positive,NA,1.6119672475424842,0.0014337141753530958
0.01,52,0,no_zero_all_positive,NA,1.611967410659251,0.0014910129790186577
0.01,54,0,no_zero_all_positive,NA,1.6119675616933224,0.0015483079581835035
0.01,56,0,no_zero_all_positive,NA,1.6119677019392697,0.0016055991132306602
0.01,58,0,no_zero_all_positive,NA,1.6119678325131024,0.0016628864445429326
0.01,60,0,no_zero_all_positive,NA,1.6119679543820316,0.0017201699525031255
0.01,62,0,no_zero_all_positive,NA,1.6119680683884647,0.001777449637493822
0.01,64,0,no_zero_all_positive,NA,1.6119681752695096,0.001834725499898049
0.01,66,0,no_zero_all_positive,NA,1.6119682756729277,0.001891997540098389
0.01,68,0,no_zero_all_positive,NA,1.6119683701702727,0.0019492657584769812
0.01,70,0,no_zero_all_positive,NA,1.611968459267779,0.0020065301554170745
0.01,72,0,no_zero_all_positive,NA,1.6119685434154323,0.0020637907313005854
0.01,74,0,no_zero_all_positive,NA,1.6119686230145716,0.002121047486510097
0.01,76,0,no_zero_all_positive,NA,1.6119686984242891,0.00217830042142797
0.01,78,0,no_zero_all_positive,NA,1.6119687699668477,0.0022355495364367872
0.01,80,0,no_zero_all_positive,NA,1.611968837932284,0.0022927948319186875
0.01,82,0,no_zero_all_positive,NA,1.6119689025823383,0.0023500363082558096
0.01,84,0,no_zero_all_positive,NA,1.611968964153823,0.002407273965830292
0.01,86,0,no_zero_all_positive,NA,1.6119690228615213,0.002464507805024496
0.01,88,0,no_zero_all_positive,NA,1.611969078900692,0.0025217378262203383
0.01,90,0,no_zero_all_positive,NA,1.6119691324492371,0.002578964029799735
0.01,92,0,no_zero_all_positive,NA,1.6119691836695869,0.0026361864161450477
0.01,94,0,no_zero_all_positive,NA,1.6119692327103499,0.0026934049856377484
0.01,96,0,no_zero_all_positive,NA,1.611969279707751,0.0027506197386601983
0.01,98,0,no_zero_all_positive,NA,1.6119693247868931,0.0028078306755936477
0.01,100,0,no_zero_all_positive,NA,1.6119693680628715,0.0028650377968204577
0.01,102,0,no_zero_all_positive,NA,1.611969409641755,0.0029222411027218786
0.01,104,0,no_zero_all_positive,NA,1.6119694496214527,0.0029794405936798274
0.01,106,0,no_zero_all_positive,NA,1.611969488092484,0.0030366362700757765
0.01,108,0,no_zero_all_positive,NA,1.6119695251386639,0.0030938281322916428
0.01,110,0,no_zero_all_positive,NA,1.6119695608377116,0.0031510161807084547
0.01,112,0,no_zero_all_positive,NA,1.6119695952617952,0.003208200415707907
0.01,114,0,no_zero_all_positive,NA,1.611969628478017,0.003265380837671472
0.01,116,0,no_zero_all_positive,NA,1.6119696605488527,0.003322557446980623
0.01,118,0,no_zero_all_positive,NA,1.6119696915325434,0.003379730244016388
0.01,120,0,no_zero_all_positive,NA,1.6119697214834452,0.0034368992291600176
0.01,122,0,no_zero_all_positive,NA,1.6119697504523507,0.0034940644027932066
